Category,Wine,Vendor,Qty,Est. €/Bottle,Est. Line Total,Awards & Ratings,Food Pairing,Notes
Dry Rosé,"Château Cavalier Cuvée Marafiance, Côtes de Provence 2024",Vivino,6,€12.00,€72.00,DWWA 2025 Best in Show 97pts (2024 vintage); DWWA 2024 Bronze 87pts (2023); Guide Hachette 2 stars (2018),"pork, chicken, spicy",Vivino NL top 25 under €15; SA pioneer Provence rosé
Dry Rosé,Domaine Houchart Côtes de Provence Rosé 2023/24,Vivino,6,€10.00,€60.00,DWWA Silver multiple vintages; Decanter panel recommended,"pork, chicken","Grenache/Cinsault/Syrah, classic Provence style"
Dry Rosé,Tavel Rosé (Domaine de la Mordorée or similar),UpperWine,3,€14.00,€42.00,Decanter 90+ pts (Mordorée regularly); Wine Spectator 90 pts,"spicy food, grilled pork",Fuller-bodied Grenache rosé from Tavel AOC
Dry Rosé,"Grenache Rosé, Pays d'Oc (Gérard Bertrand or similar)",Grandcruwijnen,4,€10.00,€40.00,Gérard Bertrand: multiple DWWA Gold/Silver; IWC medals,"pork, chicken, spicy",Good-value southern French rosé
Dry Rosé,"Château la Mascaronne Rosé, Côtes de Provence 2024",Vivino,4,€14.00,€56.00,Decanter reviewed; Vivino 3.8+,"spicy, chicken","Light, unoaked, 12.5% ABV Provence classic"
Medium Red,Glorioso Rioja Reserva 2018 (Cosme Palacio),Vivino,3,€12.00,€36.00,IWC Silver; DWWA Bronze (2021); Global Masters Gold (2016); James Suckling 90 pts,"beef, pork, umami","Vivino 4.0 NL, 100% Tempranillo, 36 months aged"
Medium Red,Chapoutier Côtes du Rhône Villages 2024,UpperWine,3,€12.00,€36.00,"Decanter ""best in Ł10-15 bracket"" (Oct 2025); Chapoutier consistently DWWA Silver/Gold","beef, pork, umami","Classic GSM blend, organic certified"
Medium Red,Rubinelli Vajol Valpolicella Classico 2022,Grandcruwijnen,2,€12.00,€24.00,Vivino 3.8+; small-producer Classico,"pork, umami","Authentic Valpolicella, Corvina-led"
Medium Red,Castellani Chianti DOCG 2022/23,Vivino,3,€11.00,€33.00,DWWA Bronze/Silver (various vintages); Mundus Vini medals,"umami, tomato dishes","Sangiovese-based, classic Tuscan red"
Medium Red,Beyerskloof Pinotage 2022/23,Vivino,2,€11.00,€22.00,DWWA Silver; Veritas Double Gold; Michelangelo Double Gold; IWSC Pinotage Trophy (Diesel),"pork, grilled meats","SA signature grape, Beyers Truter - king of Pinotage"
Light Red,Louis Jadot Beaujolais-Villages,UpperWine,3,€12.00,€36.00,Wine Enthusiast Best Buy; Decanter recommended; consistently 86-89 pts,"chicken, pork",Reliable Gamay from top Burgundy house
Light Red,Fleurie or Morgon Cru Beaujolais,UpperWine,2,€14.00,€28.00,DWWA 2025 Best in Show (Janin Morgon 2023); Cru Beaujolais regularly DWWA Gold/Platinum,"chicken, pork, beef","Cru Beaujolais, Burgundy-like depth"
Light Red,Bourgogne Pinot Noir (Bouchard or similar),UpperWine,2,€15.00,€30.00,Bouchard Pčre: Decanter reviewed; multiple IWC/IWSC medals across range,"chicken, beef",Entry-level Burgundy Pinot Noir
Light Red,Farina Valpolicella Classico 2022,Grandcruwijnen,2,€12.00,€24.00,Vivino 4.0 NL under €15; Farina family estate since 1939,"pork, chicken",Light cherry-driven Italian red
Sparkling,Domaine Allimant-Laugner Crémant d'Alsace Blanc,Grandcruwijnen,4,€12.00,€48.00,Decanter Silver (various); Crémant d'Alsace top-selling French crémant appellation,"aperitif, seafood","Traditional method, crisp and biscuity"
Sparkling,Cava Reserva (Juvé y Camps or Codorníu),Grandcruwijnen,4,€11.00,€44.00,Juvé y Camps: DWWA Gold; IWC Gold; Codorníu: multiple DWWA Silver/Gold,"tapas, aperitif",Extended lees ageing (15+ months)
Sparkling,Prosecco DOCG Valdobbiadene Superiore (Nani Rizzi or similar),Grandcruwijnen,3,€13.00,€39.00,DWWA 2025 Gold 95pts (Valdobbiadene tier); Value Gold for Prosecco DOCG,"antipasti, light pasta","Premium DOCG, not basic DOC Prosecco"
Sparkling,Crémant de Loire or Bourgogne Brut,UpperWine,2,€12.00,€24.00,Crémant de Loire: DWWA Silver/Gold regularly; IWC recommended,"chicken, fish","Traditional method, Chardonnay/Chenin based"
Sparkling,Simonsig Kaapse Vonkel Cap Classique,Vivino,2,€14.00,€28.00,Amorim Cap Classique Challenge: 3x Producer of Year; multiple Golds; Wine Enthusiast 88; Mundus Vini Silver,"aperitif, shellfish","SA's first traditional-method sparkling (1971), pioneer"
Oaked White,Kleine Zalze Vineyard Selection Chenin Blanc 2022,Vivino,3,€12.00,€36.00,Vivino 4.1 NL; Platter's 4 stars; Tim Atkin 90+; DWWA Silver,"creamy, roasted",Barrel-fermented Stellenbosch Chenin Blanc
Oaked White,White Rioja Barrel Fermented (Bodegas Shaya or similar),Grandcruwijnen,3,€11.00,€33.00,Shaya: DWWA Bronze; Mundus Vini Silver,"creamy, roasted, umami",Rich oak-aged Viura/Verdejo white
Oaked White,Fumé Blanc / Oaked Sauvignon (Loire or SA),Vivino,2,€13.00,€26.00,Varies by producer; Loire Fumé: DWWA Gold tier regularly,roasted vegetables,Oak-kissed Sauvignon Blanc style
Oaked White,White Burgundy Mâcon-Villages (Jadot or similar),UpperWine,2,€14.00,€28.00,Louis Jadot: DWWA Gold/Platinum across Burgundy range; IWC Trophy winner (other cuvées),"creamy sauces, chicken",Unoaked-to-lightly-oaked Chardonnay
Oaked White,Penfolds Koonunga Hill Chardonnay or similar,Vivino,2,€12.00,€24.00,Penfolds: James Halliday 5 stars; Wine Spectator recommended; IWC Silver,"roasted, umami",Reliable Aussie oaked Chardonnay
Aromatic White,"Hugel Gewürztraminer Classic, Alsace",Vivino,2,€14.00,€28.00,Hugel: DWWA Gold (across range); IWC Trophy (Alsace); benchmark since 1639,"spicy, Asian cuisine",Benchmark Alsace Gewürztraminer producer
Aromatic White,Nik Weis St. Urbans-Hof Estate Riesling,Grandcruwijnen,3,€11.00,€33.00,DWWA Silver/Gold (various); Wine Enthusiast 90 pts; Vivino 4.0+,"pork, chicken, spicy","Mosel Riesling, green apple and pear, refreshing"
Aromatic White,Torrontés (Colomé or Susana Balbo),Vivino,3,€11.00,€33.00,"Colomé: DWWA Silver; Decanter recommended; Susana Balbo: IWC medals, James Suckling 90+","spicy, chicken","Argentine aromatic, floral and citrus"
Sparkling Rosé,Allimant-Laugner Crémant d'Alsace Rosé,Grandcruwijnen,2,€12.00,€24.00,Decanter Silver; part of Allimant-Laugner's consistently awarded crémant range,"shellfish, sweet",Traditional method Pinot Noir rosé fizz
,,TOTALS,82,,€987.00,,,
,,AVG €/BOTTLE,,,€12.04,,,
,,,,,,,,
Category,,,Bottles,Target,Est. Cost,Check,,
Dry Rosé,,,23,23,€270.00,?,,
Medium Red,,,13,13,€151.00,?,,
Light Red,,,9,9,€118.00,?,,
Sparkling,,,15,15,€183.00,?,,
Oaked White,,,12,12,€147.00,?,,
Aromatic White,,,8,8,€94.00,?,,
Sparkling Rosé,,,2,2,€24.00,?,,
